,age,age_onset,birthplace,filename,native_language,sex,speakerid,country,eng_speakers,line,accent
0,27.0,9.0,south africa,./datasets/accent_archive/recordings/afrikaans1.wav,afrikaans,female,1,south africa,31.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,afrikaans
1,40.0,5.0,south africa,./datasets/accent_archive/recordings/afrikaans2.wav,afrikaans,male,2,south africa,31.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,afrikaans
2,43.0,4.0,south africa,./datasets/accent_archive/recordings/afrikaans3.wav,afrikaans,male,418,south africa,31.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,afrikaans
3,26.0,8.0,south africa,./datasets/accent_archive/recordings/afrikaans4.wav,afrikaans,male,1159,south africa,31.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,afrikaans
4,19.0,6.0,south africa,./datasets/accent_archive/recordings/afrikaans5.wav,afrikaans,male,1432,south africa,31.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,afrikaans
5,32.0,0.0,south africa,./datasets/accent_archive/recordings/english130.wav,english,male,496,south africa,31.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,south african
6,29.0,0.0,south africa,./datasets/accent_archive/recordings/english270.wav,english,male,903,south africa,31.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,south african
7,32.0,0.0,south africa,./datasets/accent_archive/recordings/english271.wav,english,female,904,south africa,31.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,south african
8,65.0,0.0,south africa,./datasets/accent_archive/recordings/english42.wav,english,male,102,south africa,31.0,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,south african
9,41.0,5.0,ghana,./datasets/accent_archive/recordings/akan1.wav,akan,male,979,ghana,66.67,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,akan
10,42.0,1.0,ghana,./datasets/accent_archive/recordings/ashanti1.wav,ashanti,female,1977,ghana,66.67,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,ashanti
11,21.0,0.0,ghana,./datasets/accent_archive/recordings/english507.wav,english,male,1800,ghana,66.67,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,english
12,25.0,9.0,ghana,./datasets/accent_archive/recordings/ewe1.wav,ewe,male,165,ghana,66.67,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,ewe
13,37.0,5.0,ghana,./datasets/accent_archive/recordings/ewe2.wav,ewe,female,975,ghana,66.67,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,ewe
14,32.0,6.0,ghana,./datasets/accent_archive/recordings/fanti1.wav,fanti,male,167,ghana,66.67,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,fanti
15,24.0,7.0,ghana,./datasets/accent_archive/recordings/fanti2.wav,fanti,female,1511,ghana,66.67,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,fanti
16,46.0,5.0,ghana,./datasets/accent_archive/recordings/fanti3.wav,fanti,female,1863,ghana,66.67,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,fanti
17,47.0,5.0,ghana,./datasets/accent_archive/recordings/ga1.wav,ga,male,579,ghana,66.67,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,ga
18,38.0,4.0,ghana,./datasets/accent_archive/recordings/ga2.wav,ga,female,974,ghana,66.67,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,ga
19,60.0,5.0,ghana,./datasets/accent_archive/recordings/ga3.wav,ga,female,976,ghana,66.67,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,ga
20,60.0,6.0,ghana,./datasets/accent_archive/recordings/ga4.wav,ga,male,1150,ghana,66.67,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,ga
21,36.0,5.0,ghana,./datasets/accent_archive/recordings/ga5.wav,ga,male,1796,ghana,66.67,Please call Stella. Ask her to bring these things with her from the store: Six spoons of fresh snow peas  five thick slabs of blue cheese  and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags  and we will go meet her Wednesday at the train station.,ga
